,Postcode,Borough,Neighbourhood
276,M4Z,Not assigned,Not assigned
277,M5Z,Not assigned,Not assigned
278,M6Z,Not assigned,Not assigned
279,M7Z,Not assigned,Not assigned
280,M8Z,Etobicoke,Kingsway Park South West
281,M8Z,Etobicoke,Mimico NW
282,M8Z,Etobicoke,The Queensway West
283,M8Z,Etobicoke,Royal York South West
284,M8Z,Etobicoke,South of Bloor
285,M9Z,Not assigned,Not assigned
